date,session_date,setup_detected,direction,poi_type,sweep_level,pattern_candle_a,pattern_candle_b,entry_price,stop_loss,take_profit,sl_distance,tp_distance,trader_agrees,actual_result,hypothetical_pnl,notes
2026-05-04T15:27:28.122768,2025-01-09,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.146417,2025-01-10,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.162829,2025-01-12,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.187736,2025-01-13,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.212562,2025-01-14,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.236910,2025-01-15,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.259738,2025-01-16,True,LONG,BULLISH,43120.1,,,43203.9,43141.1,43329.5,62.8,125.6,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:28.284943,2025-01-17,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.300473,2025-01-19,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.323120,2025-01-20,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.345162,2025-01-21,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.369655,2025-01-22,True,SHORT,BEARISH,44203.2,,,44169.9,44229.9,44049.9,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:28.394531,2025-01-23,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.420926,2025-01-24,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.436574,2025-01-26,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.458613,2025-01-27,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.483693,2025-01-28,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.508027,2025-01-29,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.533032,2025-01-30,True,SHORT,BEARISH,44940.2,,,44994.0,45054.0,44874.0,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:28.560483,2025-01-31,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.578592,2025-02-02,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.604671,2025-02-03,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.630169,2025-02-04,True,LONG,BULLISH,44431.9,,,44583.5,44508.9,44732.7,74.6,149.2,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:28.654274,2025-02-05,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.678922,2025-02-06,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.703350,2025-02-07,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.719582,2025-02-09,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.744614,2025-02-10,True,SHORT,BEARISH,44435.4,,,44456.5,44516.5,44336.5,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:28.767338,2025-02-11,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.791411,2025-02-12,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.815074,2025-02-13,True,LONG,BULLISH,44462.1,,,44497.9,44430.0,44633.7,67.9,135.8,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:28.841040,2025-02-14,True,SHORT,BEARISH,44663.3,,,44624.9,44684.9,44504.9,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:28.856375,2025-02-16,False,,,,,,,,,,,,,,No valid signal from strategy
