datetime,open,high,low,close,volume
2023-02-06 08:00:00,33833.8,33838.0,33775.1,33782.0,1031
2023-02-06 08:30:00,33780.0,33821.5,33776.9,33794.4,719
2023-02-06 09:00:00,33795.1,33795.1,33743.6,33755.5,858
2023-02-06 09:30:00,33756.1,33777.5,33709.7,33718.1,750
2023-02-06 10:00:00,33717.5,33728.2,33694.7,33702.1,649
2023-02-06 10:30:00,33701.5,33704.3,33661.6,33704.2,618
2023-02-06 11:00:00,33705.2,33707.0,33667.9,33697.9,584
2023-02-06 11:30:00,33695.1,33744.6,33687.5,33740.4,620
2023-02-06 12:00:00,33741.6,33762.2,33728.4,33744.5,676
2023-02-06 12:30:00,33744.4,33794.3,33731.1,33782.8,780
2023-02-06 13:00:00,33782.7,33786.8,33757.7,33763.7,805
2023-02-06 13:30:00,33763.5,33773.3,33725.1,33755.1,965
2023-02-06 14:00:00,33753.8,33821.5,33747.3,33797.7,946
2023-02-06 14:30:00,33795.9,33875.9,33747.8,33802.3,3016
2023-02-06 15:00:00,33801.0,33804.7,33723.1,33738.0,2439
2023-02-06 15:30:00,33735.4,33856.4,33695.0,33842.5,2128
2023-02-06 16:00:00,33842.0,33902.5,33828.1,33889.7,1774
2023-02-06 16:30:00,33891.3,33906.3,33819.8,33826.1,1592
2023-02-06 17:00:00,33825.1,33862.6,33812.8,33832.5,1645
2023-02-06 17:30:00,33831.1,33892.2,33830.1,33871.6,1447
2023-02-06 18:00:00,33870.2,33932.5,33834.8,33887.2,1697
2023-02-06 18:30:00,33886.2,33909.5,33857.1,33897.1,1561
2023-02-06 19:00:00,33897.0,33984.4,33893.0,33938.2,1407
2023-02-06 19:30:00,33938.6,33945.4,33867.2,33910.0,1348
2023-02-06 20:00:00,33908.1,33913.5,33839.7,33849.6,1443
2023-02-06 20:30:00,33851.2,33915.0,33816.3,33892.1,1630
2023-02-06 23:30:00,33914.2,33945.8,33911.4,33945.8,239
2023-02-07 00:00:00,33949.0,33962.9,33934.4,33959.3,306
2023-02-07 00:30:00,33960.0,33968.0,33953.5,33967.0,220
2023-02-07 01:00:00,33968.0,33977.1,33958.7,33973.1,297
2023-02-07 01:30:00,33974.0,33979.1,33949.7,33974.1,283
2023-02-07 02:00:00,33974.5,33974.5,33948.7,33956.1,215
2023-02-07 02:30:00,33957.0,33969.0,33953.5,33968.9,187
2023-02-07 03:00:00,33969.9,33972.9,33960.4,33971.4,193
2023-02-07 03:30:00,33971.1,33972.0,33939.2,33943.1,251
2023-02-07 04:00:00,33944.1,33951.2,33926.7,33932.2,202
2023-02-07 04:30:00,33933.1,33934.1,33911.6,33915.2,196
2023-02-07 05:00:00,33917.1,33929.1,33914.6,33925.2,172
2023-02-07 05:30:00,33924.7,33938.2,33918.6,33931.2,184
2023-02-07 06:00:00,33930.6,33950.0,33920.5,33923.0,269
2023-02-07 06:30:00,33921.7,33927.0,33915.5,33916.9,160
2023-02-07 07:00:00,33916.4,33927.5,33912.4,33926.5,335
2023-02-07 07:30:00,33927.1,33927.1,33901.5,33907.6,336
2023-02-07 08:00:00,33909.0,33926.1,33823.0,33868.9,1155
2023-02-07 08:30:00,33868.5,33897.2,33839.5,33883.5,849
2023-02-07 09:00:00,33884.1,33934.6,33882.3,33925.3,863
2023-02-07 09:30:00,33924.2,33941.7,33921.3,33935.1,644
2023-02-07 10:00:00,33934.5,33938.7,33898.2,33938.5,484
2023-02-07 10:30:00,33939.1,33943.0,33889.2,33890.7,487
2023-02-07 11:00:00,33890.6,33917.7,33875.5,33897.3,604
2023-02-07 11:30:00,33897.6,33900.5,33868.7,33879.1,813
2023-02-07 12:00:00,33880.1,33901.5,33871.5,33886.8,706
2023-02-07 12:30:00,33886.6,33886.7,33850.6,33872.1,678
2023-02-07 13:00:00,33871.6,33876.5,33816.0,33833.6,847
2023-02-07 13:30:00,33833.0,33836.1,33793.8,33815.3,895
2023-02-07 14:00:00,33815.1,33815.6,33715.8,33715.8,867
2023-02-07 14:30:00,33719.3,33817.4,33717.4,33796.6,2713
2023-02-07 15:00:00,33794.3,33825.2,33749.3,33763.6,1913
2023-02-07 15:30:00,33762.1,33802.9,33742.1,33747.1,1551
2023-02-07 16:00:00,33749.4,33829.3,33738.4,33805.4,1465
2023-02-07 16:30:00,33806.5,33869.6,33799.3,33839.2,1453
2023-02-07 17:00:00,33838.1,33860.6,33803.1,33811.2,1347
2023-02-07 17:30:00,33812.6,34187.7,33792.6,34123.8,3429
2023-02-07 18:00:00,34125.0,34177.3,33809.5,33809.5,4396
2023-02-07 18:30:00,33810.9,33810.9,33642.3,33712.7,3756
2023-02-07 19:00:00,33710.1,34000.3,33710.1,33960.8,2942
2023-02-07 19:30:00,33963.7,34067.2,33949.6,34056.1,2284
2023-02-07 20:00:00,34058.1,34126.8,34000.9,34114.8,1873
2023-02-07 20:30:00,34114.5,34255.1,34072.7,34192.2,1860
2023-02-07 23:30:00,34133.2,34147.6,34126.2,34136.5,278
2023-02-08 00:00:00,34137.7,34149.7,34122.4,34126.9,320
2023-02-08 00:30:00,34127.9,34151.9,34127.9,34151.4,250
2023-02-08 01:00:00,34152.0,34158.4,34130.5,34132.5,241
2023-02-08 01:30:00,34133.0,34163.0,34133.0,34145.6,345
2023-02-08 02:00:00,34146.2,34157.9,34144.6,34154.7,191
2023-02-08 02:30:00,34155.2,34164.1,34150.7,34163.6,204
2023-02-08 03:00:00,34164.2,34175.0,34163.6,34174.1,183
2023-02-08 03:30:00,34175.0,34190.0,34172.4,34178.1,225
2023-02-08 04:00:00,34179.0,34184.1,34172.5,34175.0,152
2023-02-08 04:30:00,34176.0,34183.0,34163.6,34170.9,185
2023-02-08 05:00:00,34170.4,34172.7,34161.6,34161.6,198
2023-02-08 05:30:00,34162.2,34193.5,34161.6,34188.6,234
2023-02-08 06:00:00,34189.1,34194.1,34171.7,34172.2,271
2023-02-08 06:30:00,34173.1,34181.1,34156.5,34158.7,240
2023-02-08 07:00:00,34157.7,34157.7,34115.4,34145.0,512
2023-02-08 07:30:00,34145.9,34164.3,34139.5,34143.5,426
2023-02-08 08:00:00,34145.5,34169.0,34081.6,34087.8,1121
2023-02-08 08:30:00,34088.6,34116.7,34064.1,34115.1,830
2023-02-08 09:00:00,34115.1,34150.0,34102.4,34134.9,729
2023-02-08 09:30:00,34133.7,34135.2,34103.5,34132.3,672
2023-02-08 10:00:00,34133.2,34135.5,34099.8,34119.2,685
2023-02-08 10:30:00,34120.6,34137.0,34108.3,34131.5,631
2023-02-08 11:00:00,34130.5,34134.1,34094.2,34106.7,610
2023-02-08 11:30:00,34108.2,34115.7,34062.1,34085.5,688
2023-02-08 12:00:00,34087.7,34112.6,34083.0,34088.2,707
2023-02-08 12:30:00,34086.3,34101.7,34047.4,34057.3,755
2023-02-08 13:00:00,34057.7,34065.4,34029.9,34056.3,881
2023-02-08 13:30:00,34055.2,34081.6,34052.2,34072.1,824
2023-02-08 14:00:00,34071.3,34105.6,34058.1,34058.1,937
2023-02-08 14:30:00,34056.2,34169.3,34017.6,34162.3,2775
2023-02-08 15:00:00,34160.9,34168.0,34076.0,34113.1,2260
2023-02-08 15:30:00,34110.0,34121.1,34039.8,34100.8,1675
2023-02-08 16:00:00,34094.2,34100.1,33958.7,33986.3,1960
2023-02-08 16:30:00,33985.8,34010.2,33928.3,34003.8,1759
2023-02-08 17:00:00,34002.0,34043.5,33955.4,34042.6,1714
2023-02-08 17:30:00,34044.5,34064.1,33977.1,34059.0,1722
2023-02-08 18:00:00,34061.1,34126.5,34046.0,34066.9,1675
2023-02-08 18:30:00,34066.8,34073.3,34020.2,34045.1,1693
2023-02-08 19:00:00,34047.2,34078.1,34000.1,34000.2,1605
2023-02-08 19:30:00,34000.1,34017.3,33937.0,33999.5,1612
2023-02-08 20:00:00,34000.0,34004.9,33904.1,33950.8,1724
2023-02-08 20:30:00,33946.6,33989.3,33927.4,33986.8,1669
2023-02-08 23:30:00,33997.9,34013.5,33992.0,34003.1,265
2023-02-09 00:00:00,34004.5,34027.3,34003.2,34020.3,261
2023-02-09 00:30:00,34021.0,34030.9,34013.4,34027.0,218
2023-02-09 01:00:00,34028.7,34044.4,34020.6,34036.0,266
2023-02-09 01:30:00,34036.9,34050.9,34035.5,34038.0,274
2023-02-09 02:00:00,34040.0,34046.0,34030.6,34043.7,200
2023-02-09 02:30:00,34044.2,34053.1,34041.6,34048.5,179
2023-02-09 03:00:00,34050.0,34051.0,34037.7,34037.8,257
2023-02-09 03:30:00,34038.3,34061.2,34037.7,34050.6,204
2023-02-09 04:00:00,34051.2,34056.2,34046.6,34055.6,142
2023-02-09 04:30:00,34054.7,34058.2,34047.7,34053.5,131
2023-02-09 05:00:00,34052.6,34081.1,34051.7,34073.1,203
2023-02-09 05:30:00,34074.9,34088.0,34004.3,34070.2,415
2023-02-09 06:00:00,34068.6,34080.8,34055.2,34080.2,367
2023-02-09 06:30:00,34079.3,34092.0,34071.5,34084.5,239
2023-02-09 07:00:00,34085.0,34103.6,34075.6,34080.2,556
2023-02-09 07:30:00,34080.0,34094.0,34073.2,34087.5,371
2023-02-09 08:00:00,34087.0,34199.8,34087.0,34183.4,1101
2023-02-09 08:30:00,34183.1,34204.9,34167.7,34174.8,798
2023-02-09 09:00:00,34173.9,34186.2,34162.2,34163.1,736
2023-02-09 09:30:00,34163.7,34220.6,34159.0,34219.7,741
2023-02-09 10:00:00,34219.4,34220.5,34191.3,34194.2,739
2023-02-09 10:30:00,34194.6,34229.6,34186.8,34228.6,621
2023-02-09 11:00:00,34227.6,34229.8,34172.3,34174.7,614
2023-02-09 11:30:00,34172.6,34187.3,34159.4,34175.7,598
2023-02-09 12:00:00,34175.9,34181.7,34164.1,34164.1,558
2023-02-09 12:30:00,34165.7,34180.3,34146.6,34148.2,669
2023-02-09 13:00:00,34150.4,34166.2,34146.7,34157.0,727
2023-02-09 13:30:00,34158.1,34202.4,34156.4,34198.5,1035
2023-02-09 14:00:00,34198.8,34205.2,34162.8,34190.3,841
2023-02-09 14:30:00,34191.6,34263.8,34149.2,34171.1,2472
2023-02-09 15:00:00,34175.2,34233.4,34123.2,34143.9,2187
2023-02-09 15:30:00,34142.4,34193.2,34121.0,34181.9,2039
2023-02-09 16:00:00,34180.9,34180.9,34010.9,34030.3,2108
2023-02-09 16:30:00,34031.3,34045.1,34000.0,34024.0,1637
2023-02-09 17:00:00,34024.5,34066.5,34003.4,34004.2,1479
2023-02-09 17:30:00,34005.6,34005.6,33848.8,33895.1,1693
2023-02-09 18:00:00,33893.5,33895.6,33844.4,33863.5,1776
2023-02-09 18:30:00,33865.2,33911.9,33817.8,33851.5,1687
2023-02-09 19:00:00,33849.4,33871.0,33766.9,33775.4,1705
2023-02-09 19:30:00,33774.0,33805.3,33758.1,33772.5,1481
2023-02-09 20:00:00,33772.0,33772.0,33664.3,33673.9,1735
2023-02-09 20:30:00,33672.0,33777.1,33603.2,33695.0,2035
2023-02-09 23:30:00,33711.7,33716.7,33691.6,33706.8,311
2023-02-10 00:00:00,33709.2,33711.5,33669.8,33670.2,423
2023-02-10 00:30:00,33671.9,33703.4,33671.9,33700.5,330
2023-02-10 01:00:00,33702.0,33721.1,33695.5,33719.6,312
2023-02-10 01:30:00,33718.7,33725.1,33704.0,33718.2,353
2023-02-10 02:00:00,33719.0,33720.1,33692.7,33707.1,283
2023-02-10 02:30:00,33708.1,33712.2,33683.7,33683.7,250
2023-02-10 03:00:00,33682.7,33682.7,33653.6,33654.7,346
2023-02-10 03:30:00,33655.2,33673.1,33654.6,33670.6,264
2023-02-10 04:00:00,33670.3,33673.2,33647.6,33666.2,262
2023-02-10 04:30:00,33665.6,33675.9,33660.8,33664.7,189
2023-02-10 05:00:00,33665.3,33675.3,33656.7,33663.1,282
2023-02-10 05:30:00,33664.1,33687.1,33661.7,33683.1,264
2023-02-10 06:00:00,33683.5,33698.4,33678.6,33682.7,266
2023-02-10 06:30:00,33681.7,33701.5,33677.7,33694.1,215
2023-02-10 07:00:00,33695.0,33703.0,33667.4,33686.3,687
2023-02-10 07:30:00,33686.9,33713.1,33682.7,33707.8,500
2023-02-10 08:00:00,33709.1,33755.1,33692.5,33743.4,1157
2023-02-10 08:30:00,33742.8,33757.8,33728.6,33737.2,921
2023-02-10 09:00:00,33737.3,33755.6,33693.6,33727.6,1108
2023-02-10 09:30:00,33727.1,33741.4,33656.2,33661.5,1039
2023-02-10 10:00:00,33659.9,33684.4,33617.2,33636.6,1032
2023-02-10 10:30:00,33637.2,33655.5,33620.1,33642.5,892
2023-02-10 11:00:00,33641.3,33642.7,33566.3,33568.7,998
2023-02-10 11:30:00,33570.1,33585.5,33553.8,33562.1,848
2023-02-10 12:00:00,33563.5,33593.7,33547.6,33587.7,877
2023-02-10 12:30:00,33588.2,33589.3,33518.7,33532.3,891
2023-02-10 13:00:00,33531.2,33607.1,33521.7,33602.5,945
2023-02-10 13:30:00,33603.1,33623.7,33584.9,33601.2,946
2023-02-10 14:00:00,33600.8,33667.7,33596.3,33667.7,916
2023-02-10 14:30:00,33666.9,33731.9,33623.1,33680.0,3016
2023-02-10 15:00:00,33681.4,33827.1,33589.5,33774.3,2895
