datetime,open,high,low,close,volume
2022-01-03,388.6249518186861,391.4394658842447,386.511658923801,391.1862487792969,40575900
2022-01-04,391.7315539351882,391.7705172651739,383.01538866067614,386.1123046875,58027200
2022-01-05,384.4274657275705,385.547445922028,373.9972712327207,374.25048828125,75739800
2022-01-06,372.42937226261216,377.2305699327949,370.199189701776,373.987548828125,70814300
2022-01-07,373.9972909122874,375.6821057032982,368.1637879896817,369.9362182617188,72652300
2022-01-10,365.02796928340246,370.6959310070584,359.6619065434857,370.17974853515625,91770500
2022-01-11,369.4492843140459,375.9060816926195,367.3652068253336,375.7405395507813,68295700
2022-01-12,378.31160870654446,380.0061720189423,374.9517565939594,377.2306213378906,54576400
2022-01-13,378.6135029020826,379.2952275240133,366.8588502080744,367.7937622070313,77994000
2022-01-14,365.27142052289753,370.41348098310857,365.0668853086839,370.0823669433594,80121200
2022-01-18,364.26829048052855,366.3913312973548,360.1098243286915,360.8694458007813,75450900
2022-01-19,362.4276479497391,364.90129926723534,356.6428269126242,356.9057922363281,81791500
2022-01-20,360.1293216669016,364.1027194405778,351.7345221250216,352.2701416015625,88610700
2022-01-21,350.0789145108733,352.7181079448339,342.2197346222496,342.5021667480469,143388900
2022-01-24,336.8732064282664,344.7323871817224,325.4204234632394,344.07012939453125,198685800
2022-01-25,337.613389137773,341.8594715046256,332.7537308094478,336.0941162109375,124398400
2022-01-26,343.6903854333804,347.5566721227791,331.87727157936183,335.5682678222656,146559500
2022-01-27,340.27196393380945,342.0931056687476,331.1662255388084,332.1888122558594,95255700
2022-01-28,334.0684383999999,342.8235677167253,329.12116502061934,342.6093139648437,108167900
2022-01-31,343.97275169174054,354.14973026653894,342.33661867714983,353.5653991699219,94326400
2022-02-01,354.9093048748896,356.6233346063741,349.7575268593015,355.9708251953125,74433000
2022-02-02,360.10012183811494,360.431235856574,354.773023033465,358.86328125,78777100
2022-02-03,349.1634154585336,352.4745846367798,343.2519868573046,344.3135070800781,95384800
2022-02-04,344.8297218060316,351.9584954869843,342.7748593755462,348.6570739746094,86318300
2022-02-07,349.2511713999109,351.61768135491906,344.5960484405398,345.85235595703125,58198100
2022-02-08,344.71289795589774,350.82883374138515,343.58319902478024,349.73809814453125,64720900
2022-02-09,354.2568812229211,357.22718893761805,352.6597114986028,357.1492919921875,55766400
2022-02-10,350.12771336857526,356.91562687590505,347.225583363874,349.0661926269531,112468500
2022-02-11,349.0660901088654,350.6632597451943,336.76604124970885,337.9931335449219,101569100
2022-02-14,337.4380509471334,341.8107713545148,334.905998885152,338.41192626953125,80254400
2022-02-15,343.6903228548699,347.05992294534923,342.6288023839486,346.8262023925781,55128800
2022-02-16,344.57655164209007,347.7611130431249,341.54778412878585,346.7385559082031,58947100
2022-02-17,343.52476142259576,344.22595282253224,336.00644297006625,336.4252319335937,61801400
2022-02-18,337.3601483388361,337.7496925171972,330.2800855630904,332.5881652832031,80001500
2022-02-22,329.64706468518256,335.0520908242243,325.615236105448,329.2477722167969,85967100
2022-02-23,332.4031047994044,333.24062324194284,320.5023481509499,320.8139953613281,86215400
2022-02-24,310.5104221147557,332.1304674056006,309.9455874721652,331.5948181152344,130614100
2022-02-25,332.39328109835566,336.9412905241608,328.57570765873606,336.7367553710937,78842100
